iter	Logloss
0	0.6789977237
1	0.6676791984
2	0.6574663013
3	0.6462406196
4	0.6363314382
5	0.6261162328
6	0.6166338093
7	0.6079166973
8	0.5991733957
9	0.5901573188
10	0.5805959781
11	0.5722205847
12	0.564645248
13	0.5578289366
14	0.5496671531
15	0.5421096455
16	0.5355824306
17	0.5301778676
18	0.5228801893
19	0.5172847884
20	0.5113402196
21	0.505700449
22	0.5004398212
23	0.4947419976
24	0.4892348797
25	0.4833557819
26	0.4782890366
27	0.4740267402
28	0.4695402969
29	0.4646237193
30	0.4600366622
31	0.4566492984
32	0.4522231059
33	0.448573778
34	0.4450835707
35	0.4417097584
36	0.4380940577
37	0.4338462666
38	0.4311077551
39	0.428293378
40	0.4245335878
41	0.4221389107
42	0.4190100502
43	0.4168364173
44	0.4141381135
45	0.4111011157
46	0.4080358415
47	0.4045928646
48	0.4018524268
49	0.4002181557
50	0.3977245657
51	0.3953465256
52	0.3936500044
53	0.3904449796
54	0.3884319237
55	0.386291706
56	0.3839787836
57	0.3817560149
58	0.3787024861
59	0.377097735
60	0.375552619
61	0.3738416683
62	0.3724558679
63	0.3708421507
64	0.3687759445
65	0.3668475888
66	0.3659587257
67	0.3648954186
68	0.3636927207
69	0.3625627403
70	0.3603232783
71	0.3588366207
72	0.3568667876
73	0.3551661136
74	0.3526647179
75	0.3511698647
76	0.3496162083
77	0.3477144117
78	0.346527567
79	0.3454524786
80	0.3446323376
81	0.3431962667
82	0.3408161734
83	0.3390929344
84	0.3379004002
85	0.3371554374
86	0.3363158581
87	0.3350737461
88	0.3335794427
89	0.3326122428
90	0.3315429053
91	0.3305951016
92	0.3296032295
93	0.3289445434
94	0.3278630381
95	0.3267495986
96	0.3259393735
97	0.3249490876
98	0.3240152699
99	0.3231422781
100	0.3219401818
101	0.3212984412
102	0.3203556797
103	0.3195192395
104	0.3189134356
105	0.3177975288
106	0.3170002177
107	0.3160905916
108	0.3153495982
109	0.3147922761
110	0.314265716
111	0.3135352603
112	0.3123849933
113	0.3111368345
114	0.3104615076
115	0.3097570573
116	0.3093110152
117	0.3087651568
118	0.307962379
119	0.3070631583
120	0.3064811331
121	0.3058377801
122	0.3049765859
123	0.3040621264
124	0.3035810144
125	0.3029656276
126	0.3019220235
127	0.3015559668
128	0.3011620763
129	0.3002423392
130	0.2995634521
131	0.2987105913
132	0.2985052622
133	0.2979331952
134	0.2972107688
135	0.2965032268
136	0.2960737906
137	0.295433804
138	0.2951346743
139	0.2942929027
140	0.2937690151
141	0.293242283
142	0.292809414
143	0.2923406787
144	0.2913305325
145	0.2904772514
146	0.2899665443
147	0.2895445305
148	0.2883321469
149	0.2873620717
150	0.2866738712
151	0.2861744658
152	0.2853249913
153	0.2845416159
154	0.2835564476
155	0.282827417
156	0.2823305842
157	0.2813025379
158	0.2807311555
159	0.2804645646
160	0.279914343
161	0.2789097488
162	0.2783925772
163	0.2781512065
164	0.2774486736
165	0.2767347159
166	0.2764805707
167	0.2762234214
168	0.275824623
169	0.2754574398
170	0.2750281277
171	0.2743995607
172	0.2735577647
173	0.2728299955
174	0.2722803709
175	0.2720196397
176	0.2716757199
177	0.271305547
178	0.2707769209
179	0.2699783558
180	0.2692650374
181	0.2689511121
182	0.2686416351
183	0.2680178544
184	0.2672150026
185	0.2665491343
186	0.2660934396
187	0.2658355615
188	0.2653788391
189	0.2649162191
190	0.2644239488
191	0.2636906655
192	0.263435511
193	0.2630178901
194	0.2625438154
195	0.2621489457
196	0.2617192459
197	0.2612851001
198	0.2606620615
199	0.2601499397
200	0.2599149237
201	0.2597153825
202	0.2595019516
203	0.2587927354
204	0.2584285084
205	0.2580607473
206	0.257898234
207	0.257415015
208	0.2569136928
209	0.2566691404
210	0.2560953263
211	0.2556536205
212	0.2549277209
213	0.2545100739
214	0.2541603601
215	0.2535687797
216	0.2532678119
217	0.2529121054
218	0.2520917911
219	0.2516623171
220	0.2512896442
221	0.2507939739
222	0.2503890435
223	0.2498348284
224	0.24935627
225	0.2490442839
226	0.2484676906
227	0.2479344767
228	0.2476485304
229	0.2473218703
230	0.2468691876
231	0.246582501
232	0.2460356772
233	0.2455820242
234	0.2452178145
235	0.2445685366
236	0.2443010411
237	0.2442154332
238	0.2437062912
239	0.2432364115
240	0.2428130683
241	0.2422637029
242	0.2421680046
243	0.241956321
244	0.2416479518
245	0.2415018356
246	0.241163822
247	0.2407580108
248	0.2402778899
249	0.2398385386
250	0.2393968948
251	0.2390011575
252	0.2388291678
253	0.2380089561
254	0.2376013286
255	0.2373900156
256	0.2370777235
257	0.2364981854
258	0.236126812
259	0.2357760311
260	0.2355604033
261	0.2350159398
262	0.2346161197
263	0.2343982387
264	0.2339694352
265	0.2335990096
266	0.2329877669
267	0.2325411127
268	0.2320951583
269	0.2316525836
270	0.2312282584
271	0.2309258716
272	0.2306804585
273	0.2302079926
274	0.2300259471
275	0.2299016329
276	0.2297050296
277	0.2293825386
278	0.2292166654
279	0.228818441
280	0.2285101188
281	0.22798466
282	0.2275684807
283	0.2274653085
284	0.2270180121
285	0.2265408048
286	0.2263907838
287	0.2260991281
288	0.2258268286
289	0.2255876231
290	0.2254816853
291	0.225032464
292	0.2245672535
293	0.2240820402
294	0.2237811979
295	0.2234453579
296	0.2232071029
297	0.2228502257
298	0.2227600291
299	0.2224747876
300	0.2221617446
301	0.2218435971
302	0.2217009806
303	0.2213808462
304	0.220939306
305	0.220521701
