iter	Passed	Remaining
752	31495	10331
753	31546	10292
754	31584	10249
755	31621	10205
756	31659	10162
757	31705	10122
758	31749	10081
759	31793	10040
760	31832	9997
761	31877	9956
762	31929	9917
763	31969	9875
764	32008	9832
765	32047	9790
766	32085	9747
767	32134	9707
768	32176	9665
769	32218	9623
770	32257	9581
771	32301	9539
772	32343	9497
773	32392	9458
774	32435	9416
775	32474	9373
776	32515	9331
777	32563	9291
778	32606	9250
779	32648	9208
780	32685	9165
781	32723	9122
782	32767	9081
783	32810	9039
784	32851	8997
785	32889	8954
786	32929	8912
787	32976	8871
788	33018	8830
789	33066	8789
790	33107	8747
791	33154	8707
792	33195	8665
793	33248	8626
794	33298	8586
795	33344	8545
796	33386	8503
797	33433	8463
798	33480	8422
799	33536	8384
800	33592	8345
801	33637	8304
802	33676	8261
803	33733	8223
804	33784	8183
805	33827	8142
806	33865	8099
807	33914	8058
808	33977	8021
809	34035	7983
810	34095	7945
811	34153	7907
812	34212	7869
813	34279	7832
814	34329	7792
815	34390	7754
816	34443	7715
817	34500	7676
818	34556	7637
819	34601	7595
820	34644	7553
821	34681	7510
822	34726	7468
823	34768	7426
824	34815	7385
825	34854	7342
826	34891	7298
827	34936	7257
828	34980	7215
829	35026	7174
830	35065	7131
831	35110	7089
832	35160	7048
833	35201	7006
834	35252	6966
835	35295	6923
836	35336	6881
837	35381	6839
838	35423	6797
839	35467	6755
840	35513	6714
841	35555	6671
842	35601	6630
843	35638	6587
844	35685	6545
845	35728	6503
846	35772	6461
847	35817	6420
848	35854	6376
849	35902	6335
850	35954	6295
851	35997	6253
852	36038	6210
853	36075	6167
854	36121	6125
855	36164	6083
856	36218	6043
857	36257	6000
858	36293	5957
859	36336	5915
860	36380	5873
861	36423	5831
862	36466	5789
863	36504	5746
864	36550	5704
865	36597	5662
866	36640	5620
867	36681	5578
868	36718	5535
869	36758	5492
870	36804	5450
871	36854	5409
872	36898	5367
873	36938	5325
874	36985	5283
875	37028	5241
876	37072	5199
877	37118	5157
878	37156	5114
879	37204	5073
880	37254	5032
881	37301	4990
882	37340	4947
883	37377	4904
884	37420	4862
885	37463	4820
886	37508	4778
887	37552	4736
888	37588	4693
889	37624	4650
890	37670	4608
891	37713	4566
892	37753	4523
893	37792	4480
894	37838	4439
895	37881	4396
896	37928	4355
897	37969	4312
898	38009	4270
899	38058	4228
900	38103	4186
901	38147	4144
902	38187	4102
903	38224	4059
904	38272	4017
905	38322	3976
906	38371	3934
907	38412	3892
908	38453	3849
909	38498	3807
910	38546	3765
911	38587	3723
912	38624	3680
913	38674	3638
914	38720	3597
915	38765	3554
916	38806	3512
917	38842	3469
918	38886	3427
919	38929	3385
920	38973	3343
921	39030	3301
922	39070	3259
923	39115	3217
924	39160	3175
925	39202	3132
926	39243	3090
927	39292	3048
928	39336	3006
929	39378	2963
930	39425	2921
931	39464	2879
932	39508	2837
933	39554	2795
934	39596	2752
935	39642	2710
936	39680	2667
937	39724	2625
938	39772	2583
939	39815	2541
940	39859	2499
941	39899	2456
942	39952	2414
943	39995	2372
944	40036	2330
945	40075	2287
946	40123	2245
947	40168	2203
948	40216	2161
949	40258	2118
950	40297	2076
951	40338	2033
952	40383	1991
953	40429	1949
954	40475	1907
955	40512	1864
956	40557	1822
957	40599	1779
958	40643	1737
959	40685	1695
960	40724	1652
961	40767	1610
962	40817	1568
963	40861	1525
964	40904	1483
965	40940	1440
966	40981	1398
967	41030	1356
968	41072	1313
969	41113	1271
970	41153	1229
971	41200	1186
972	41240	1144
973	41282	1101
974	41324	1059
975	41365	1017
976	41412	974
977	41452	932
978	41495	890
979	41543	847
980	41580	805
981	41627	763
982	41669	720
983	41716	678
984	41757	635
985	41793	593
986	41839	551
987	41882	508
988	41929	466
989	41974	423
990	42011	381
991	42058	339
992	42101	296
993	42143	254
994	42189	212
995	42237	169
996	42281	127
997	42323	84
998	42375	42
999	42418	0
